subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	4
sub-2500	1	1	91
sub-2502	1	1	91
sub-2503	1	1	144
sub-2504	1	1	161
sub-2505	1	1	91
sub-2506	1	1	161
sub-2507	1	1	91
sub-2508	1	1	91
sub-2509	1	1	126
sub-2510	1	1	91
sub-2511	1	1	91
sub-2512	1	1	126
sub-2514	1	1	109
sub-2515	1	1	161
sub-2516	1	1	161
sub-2517	1	1	161
sub-2518	1	1	161
sub-2519	1	1	161
sub-2520	1	1	161
sub-2521	1	1	161
sub-2522	1	1	91
sub-2523	1	1	161
sub-2525	1	1	161
sub-2526	1	1	161
sub-2527	1	1	161
sub-2528	1	1	161
sub-2529	1	1	161
sub-2530	1	1	161
sub-2532	1	1	161
sub-2533	1	1	161
sub-2534	1	1	93
sub-2535	1	1	93
