subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	0	0	0	1	1	2
sub-jh101	0	1	12	1	1	217
sub-jh102	0	1	18	1	1	325
sub-jh103	0	1	9	1	1	163
sub-jh104	0	1	18	1	1	325
sub-jh105	0	1	15	1	1	271
sub-jh106	0	1	3	1	1	54
sub-jh108	0	1	18	1	1	325
sub-pt01	0	1	12	1	1	216
sub-pt10	0	1	9	1	1	163
sub-pt11	0	1	12	1	1	217
sub-pt12	0	1	6	1	1	109
sub-pt13	0	1	12	1	1	217
sub-pt14	0	1	9	1	1	163
sub-pt15	0	1	12	1	1	217
sub-pt16	0	1	9	1	1	163
sub-pt17	0	1	9	1	1	163
sub-pt2	0	1	9	1	1	163
sub-pt3	0	1	6	1	1	108
sub-pt6	0	1	9	1	1	163
sub-pt7	0	1	9	1	1	162
sub-pt8	0	1	9	1	1	163
sub-umf001	0	1	3	1	1	55
sub-umf002	0	1	3	1	1	55
sub-umf003	0	1	3	1	1	55
sub-umf004	0	1	3	1	1	55
sub-umf005	0	1	3	1	1	55
sub-ummc001	0	1	9	1	1	163
sub-ummc002	0	1	9	1	1	163
sub-ummc003	0	1	9	1	1	163
sub-ummc004	0	1	9	1	1	163
sub-ummc005	0	1	6	1	1	109
sub-ummc006	0	1	9	1	1	163
sub-ummc007	0	1	9	1	1	163
sub-ummc008	0	1	9	1	1	163
sub-ummc009	0	1	9	1	1	163
